Source	Target	Weigth
Anders Johan Forsman	Kaarle Kustaa Grönbergin	2
Anders Johan Forsman	Antti Jokinen	2
Anders Johan Forsman	Karl Saaristo	2
Anders Johan Forsman	Isak Lehtinen	2
Anders Johan Forsman	Wäinö Heikki Hakkarainen	2
Anders Johan Forsman	Edward Pohjatähti	2
Anders Johan Forsman	Richard Lindroosin	2
Anders Johan Forsman	Johan Alfred Mäkipää	2
Anders Johan Forsman	Kalle Jäntti	2
Anders Johan Forsman	Kustaa Emil Aaltonen	2
Anders Johan Forsman	Wilho Aaltonen	2
Anders Johan Forsman	August Oikarinen	2
Anders Johan Forsman	Kustaa Wilhelm Palmu	2
Anders Johan Forsman	Frans Oskar Nurmi	2
Anders Johan Forsman	Otto Sallinen	2
Anders Johan Forsman	Niklas Wirtasen	2
Anders Johan Forsman	Johan Arthur Taimi	2
Anders Johan Forsman	Matti Veijalainen	2
Anders Johan Forsman	Juho Myntti	2
Anders Johan Forsman	Emil Artur Bergström	2
Anders Johan Forsman	Jooseppi Rajala	2
Anders Johan Forsman	Juho Oskar Jokinen	2
Anders Johan Forsman	Johan Kauppinen	2
Anders Johan Forsman	Tuomas Piispa Ursin	2
Anders Johan Forsman	Wilhelm Jaakkola	2
Anders Johan Forsman	Juho Nestor Nurmi	2
Anders Johan Forsman	Juho Taawi Tuoda	2
Anders Johan Forsman	Hjalmar Nieminen	2
Anders Johan Forsman	Juho Kustaa Rantanen	2
Anders Johan Forsman	Gustaf Oskar Rantala	2
Kaarle Halme	Y. Sirola	2
Kaarle Halme	Mandi Terho	2
Kaarle Halme	Kaarlo Bergbomin	2
Erik Alopaeus	Juho Riipinen	2
Toivo Kuula	Väinö Mäkinen	2
Santeri Ingman	Yrjö Jahnsson	2
Santeri Ingman	Tekla Hultin	2
Kaarlo Nissinen	Mandi Terho	2
Amanda Tuominen	Ida Rantanen	2
Amanda Tuominen	Hilma Mantere	2
Amanda Tuominen	Hilma Tähtinen	2
Amanda Tuominen	Miina Kaipainen	2
Amanda Tuominen	Hilda Närhi	2
Emil Artur Bergström	Johan Nurminen	2
Emil Artur Bergström	Johan Urho Rantala	2
Emil Artur Bergström	Henrik Filppulan	2
Emil Artur Bergström	Wäinö Sigfrid Forsströmin	2
Emil Artur Bergström	Juho Anders Ahlgrenin	2
Emil Artur Bergström	Jaakko Kallio	2
Emil Artur Bergström	Kalle Kantola	2
Emil Artur Bergström	Frans Johan Emil Leschin	2
Emil Artur Bergström	Gustaf Oskar Rantala	2
Emil Artur Bergström	Kaarlo Niininen	2
Emil Artur Bergström	Henrik Wiktor Merisaari	2
Emil Artur Bergström	Kaarle Kustaa Grönbergin	2
Emil Artur Bergström	Karl Saaristo	2
Emil Artur Bergström	Isak Lehtinen	2
Emil Artur Bergström	Wäinö Heikki Hakkarainen	2
Emil Artur Bergström	Johan Alfred Mäkipää	2
Emil Artur Bergström	Richard Lindroosin	2
Emil Artur Bergström	Kalle Jäntti	2
Emil Artur Bergström	Niklas Wirtasen	2
Emil Artur Bergström	Wilho Aaltonen	2
Emil Artur Bergström	Kustaa Wilhelm Palmu	2
Emil Artur Bergström	Frans Oskar Nurmi	2
Emil Artur Bergström	Otto Sallinen	2
Emil Artur Bergström	Wilhelm Jaakkola	2
Emil Artur Bergström	Johan Arthur Taimi	2
Emil Artur Bergström	Matti Veijalainen	2
Emil Artur Bergström	Juho Myntti	2
Emil Artur Bergström	Hjalmar Nieminen	2
Emil Artur Bergström	Jooseppi Rajala	2
Emil Artur Bergström	Kustaa Emil Aaltonen	2
Emil Artur Bergström	Juho Oskar Jokinen	2
Emil Artur Bergström	Johan Kauppinen	2
Emil Artur Bergström	Tuomas Piispa Ursin	2
Emil Artur Bergström	Juho Nestor Nurmi	2
Emil Artur Bergström	Juho Taawi Tuoda	2
Emil Artur Bergström	Juho Kustaa Rantanen	2
Anni Pöysä	Maria Laine	2
Anni Huotari	Maria Laine	2
Matti Turkia	Turkka- Matti	2
Erkki Melartin	Hilma Liima	2
Agnes Poschner	Oskar Merikanto	2
Juhani Aho	Juho Vesa	2
Juhani Aho	Selma Lagerlöf	2
Juho Oskar Jokinen	Kustaa Emil Aaltonen	2
Juho Oskar Jokinen	Wilho Aaltonen	2
Juho Oskar Jokinen	Wilhelm Jaakkola	2
Juho Oskar Jokinen	Kustaa Wilhelm Palmu	2
Juho Oskar Jokinen	Otto Sallinen	2
Juho Oskar Jokinen	Niklas Wirtasen	2
Juho Oskar Jokinen	Matti Veijalainen	2
Juho Oskar Jokinen	Wäinö Sigfrid Forsströmin	2
Juho Oskar Jokinen	Wäinö Heikki Hakkarainen	2
Juho Oskar Jokinen	Kalle Kantola	2
Juho Oskar Jokinen	Kaarlo Niininen	2
Juho Oskar Jokinen	Kaarle Kustaa Grönbergin	2
Juho Oskar Jokinen	Karl Saaristo	2
Juho Oskar Jokinen	Tuomas Piispa Ursin	2
Juho Oskar Jokinen	Juho Taawi Tuoda	2
Juho Oskar Jokinen	Richard Lindroosin	2
Juho Oskar Jokinen	Kalle Jäntti	2
Maikki Friberg	O. Talas	2
Kaarlo Brofeldt	Mikael Johnsson	2
Wäinö Heikki Hakkarainen	Wäinö Sigfrid Forsströmin	2
Arnold Napoleon Eklund	Jaakko Kallio	2
Arnold Napoleon Eklund	Otto Sallinen	2
Arnold Napoleon Eklund	Juho And	2
Arnold Napoleon Eklund	Karl Saaristo	2
Arnold Napoleon Eklund	Wäinö Heik	2
Arnold Napoleon Eklund	Isak Lehtinen	2
Arnold Napoleon Eklund	Edward Pohjatähti	2
Arnold Napoleon Eklund	Matti Veijalainen	2
Arnold Napoleon Eklund	Tuomas Piispa Ursin	2
Arnold Napoleon Eklund	Emanuel Nurmi	2
Arnold Napoleon Eklund	Henrik Filppula	2
Arnold Napoleon Eklund	Emil Anshelm Mäkelä	2
Arnold Napoleon Eklund	Juho Nestor Nurmi	2
Arnold Napoleon Eklund	Kasper Renström	2
Hilda Vainio	J. Lehtinen	2
Aatu Palomäki	Eemeli Perttilä	2
Hannes Ryömä	Julius Ailio	2
Juho Puumalainen	Matti Puumalainen	2
Hilma Myöhänen	Nikolai Gerung	2
Hilma Myöhänen	Wilho Lindroos	2
Hilma Myöhänen	Olga Ström	2
Hilma Myöhänen	Maria Söderlund	2
Hilma Myöhänen	Kalle Klinga	2
Juho Lepistö	Justus Ripatti	2
Karl Heli	Karl Niininen	2
Karl Heli	Otto Sallinen	2
Karl Heli	Karl Wilh	2
Hilma Kaunisto	Hilma Lassila	2
Hilma Kaunisto	Ida Aalto	2
Hilma Kaunisto	Ida Kosonen	2
Hilma Kaunisto	Hilma Nyström	2
Hilma Kaunisto	Irene Johansson	2
Hilma Kaunisto	Maria Söderlund	2
Hilma Kaunisto	Ida Takanen	2
Hilma Kaunisto	Hilma Söderholm	2
Hilma Kaunisto	Katri Räisänen	2
Johan Oskari Jokinen	Karl Niininen	2
Johan Oskari Jokinen	Karl Heli	2
Johan Oskari Jokinen	Otto Sallinen	2
Johan Oskari Jokinen	Karl Wilh	2
Carl Barklind	Emma Meissner	2
Maria Söderlund	Olga Ström	2
JOHN PAISCHEFF	Josef Kohn	2
Miina Lindberg	Tilda Örnberg	2
Miina Lindberg	Miina Sillanpää	2
Edvard Toth	Olli Salovaara	2
August Oikarinen	Johan Nurminen	2
August Oikarinen	Johan Urho Rantala	2
August Oikarinen	Henrik Filppulan	2
August Oikarinen	Wäinö Sigfrid Forsströmin	2
August Oikarinen	Juho Anders Ahlgrenin	2
August Oikarinen	Jaakko Kallio	2
August Oikarinen	Kalle Kantola	2
August Oikarinen	Frans Johan Emil Leschin	2
August Oikarinen	Gustaf Oskar Rantala	2
August Oikarinen	Kaarlo Niininen	2
August Oikarinen	Henrik Wiktor Merisaari	2
August Oikarinen	Kaarle Kustaa Grönbergin	2
August Oikarinen	Karl Saaristo	2
August Oikarinen	Isak Lehtinen	2
August Oikarinen	Wäinö Heikki Hakkarainen	2
August Oikarinen	Johan Alfred Mäkipää	2
August Oikarinen	Richard Lindroosin	2
August Oikarinen	Edward Pohjatähti	2
August Oikarinen	Kalle Jäntti	2
August Oikarinen	Niklas Wirtasen	2
August Oikarinen	Kustaa Emil Aaltonen	2
August Oikarinen	Wilho Aaltonen	2
August Oikarinen	Kustaa Wilhelm Palmu	2
August Oikarinen	Frans Oskar Nurmi	2
August Oikarinen	Otto Sallinen	2
August Oikarinen	Wilhelm Jaakkola	2
August Oikarinen	Johan Arthur Taimi	2
August Oikarinen	Matti Veijalainen	2
August Oikarinen	Juho Myntti	2
August Oikarinen	Hjalmar Nieminen	2
August Oikarinen	Emil Artur Bergström	2
August Oikarinen	Jooseppi Rajala	2
August Oikarinen	Juho Oskar Jokinen	2
