Source	Target	Weigth
Heikki Albert Niskanen	Kaarlo Gustaf	11
Jooseppi Rajala	Kustaa Wilhelm Palmu	11
Maria Laine	Matti Seppälä	11
Aleksandra Simola	Alli Nissinen	11
Hannes Leiviskä	Yrjö Kivioja	11
Heikki Lindroosin	Otto Wreden	11
Aleksander Krusell	Elis Himanen	11
Aleksander Krusell	Pietari Kontiainen	11
Aleksander Krusell	Johan Fredrik Hiironen	11
Elsa Lindström	Maikki Friberg	11
Elsa Lindström	Lucina Hagman	11
Eero Erkko	Maria Laine	11
Matti Ahola	Tuomas Talsia	11
ANTTI MIKKOLA	Santeri Ingman	11
H. Räsänen	Otto Karhi	11
Frans Lehtonen	Hilda Herrala	11
Henrik Filppulan	Johan Nurminen	11
Henrik Filppulan	Herman Asikainen	11
Henrik Filppulan	Kaarlo Niininen	11
Kosti Elo	Reino Laakso	11
Matti Kiriä	Viktor Broas	11
Jaakko Gummerus	Torsten Söderhjelm	11
Heikki Ojasuu	Kaarle Krohn	11
Heikki Ojasuu	Wäinö Woionmaa	11
Jussi Tuominen	Lauri Mäkinen	11
Alfred Backman	Birger Halia	11
Anders Johan Blomberg	Mathilda Sofia Blomberg	11
Jonas Castren	Samuel Heiskanen	11
Juho Myller	Sandra Tuupaisen	11
August Strömberg	Väinö Kataja	11
Ernst Blumenthal	Kaarlo Rönneberg	11
Ernst Blumenthal	Kaarlo Lojander	11
Alpo Silander	Lauri Lyytikäinen	11
Kaarlo Luoto	Teodor Holmström	11
Otto Sallinen	Wilhelm Jaakkola	11
Otto Sallinen	Tuomas Piispa Ursin	11
Otto Sallinen	Richard Lindroosin	11
Georg Jensen	Niilo Helander	11
Gunnar Castrenin	Helmi Setälä	11
Aleksandra Gripenberg	Juho Rannikko	11
Fritz Wetterhoff	Lauri Mäkinen	11
Kasper Renström	Otto Sallinen	11
Johan Lammelll	Kaarlo Harju	11
Axel Friberg	Karl H. Turunen	11
Lauri Ingman	Taneli Nykänen	11
Hilma Alanko	Maria Lalhlo	11
Antti Jokinen	Arthur Ferdinand Ikäheimonen	11
Antti Jokinen	Wäinö Heikki Hakkarainen	11
Antti Jokinen	Kustaa Wilhelm Palmu	11
Antti Jokinen	Matti Veijalainen	11
Antti Jokinen	Johan Kauppinen	11
Karl Marx	Kevät Lehti	11
Karl Marx	Richard Calwer	11
Karl Marx	Mikko Uotinen	11
Lauri Mattila	Nestor Alanen	11
A. Noponen	Jalmari Castren	11
A. Noponen	Emil Lindgren	11
August Voutilainen	Johan Nurminen	11
August Voutilainen	Kalle Jäntti	11
August Voutilainen	Emanuel Nurmi	11
August Voutilainen	Hjalmar Nieminen	11
August Voutilainen	Kaarlo Niininen	11
Eino Nyyssölä	Kaarlo Haljala	11
Emmy Laine	Ida Sepponen	11
Emil Artur Bergström	Karl Saaristo	11
Emil Artur Bergström	Kalle Kantola	11
Emil Artur Bergström	Herman Asikainen	11
Emil Artur Bergström	Kaarle Helin	11
Emil Artur Bergström	Kustaa Emil Aaltonen	11
Arthur Ferdinand Ikäheimonen	Otto Sallinen	11
Arthur Ferdinand Ikäheimonen	Juho Myntti	11
Arthur Ferdinand Ikäheimonen	Viktor Saarinen	11
Adolf Lindfors	Eino Leino	11
Antti Korpela	Tahvo Puntti	11
Antti Korpela	Tilda Sigvard	11
Juho Kustaa Rantanen	Kasper Renström	11
Juho Kustaa Rantanen	Viktor Saarinen	11
Juho Kustaa Rantanen	Wäinö Heikki Hakkarainen	11
Emil Kosonen	Kalle Pohjalainen	11
Kalle Jäntti	Tuomas Piispa	11
Kaarlo Niininen	Tuomas Piispa Ursin	11
Kaarlo Niininen	Matti Veijalainen	11
Kirsti Suonio	Mimmi Lähdeoja	11
Juho Laakso	Maria Laine	11
Gösta Grotenfelt	Hannes Nylander	11
Pietari Kontiainen	Wilho Toikka	11
Helmi Hentola	Urho Haapanen	11
Kalle Kantola	Wäinö Heikki Hakkarainen	11
Kalle Kantola	Viktor Saarinen	11
Frans Vihtori Tommila	Juho Erkkilä	11
Kaapro Jääskeläinen	Yrjö Sirola	11
Kaapro Jääskeläinen	Otto Tiupan	11
Arndt Auwisen	Jooseppi Rajala	11
Antti Kinnunen	Heikki l.	11
Miina Sillanpää	Väinö Voionmaa	11
Richard Lindroosin	Wilhelm Jaakkola	11
Richard Lindroosin	Tuomas Piispa Ursin	11
Albert Ingman	Hilja Pärssinen	11
Aksel Virtakoski	Simo Kaksonen	11
Emanuel Nurmi	Kustaa Wilhelm Palmu	11
Emanuel Nurmi	Matti Veijalainen	11
Emanuel Nurmi	Henrik Filppula	11
Emanuel Nurmi	Isak Kalliomäki	11
G. Nyströmin	U. Albrechtin	11
Johan Lindberg	Johanna Lindberg	11
Adolf Salonen	Frans Oskar Nurmi	11
Adolf Salonen	Arthur Ferdinand Ikäheimonen	11
Adolf Salonen	Gustaf Oskar Rantala	11
Adolf Salonen	Henrik Filppula	11
Eero A. Liakka	Yrjö Halonen	11
August Raatikainen	Hilma Räsänen	11
Kössi Lindström	Otto Tiuppa	11
Jaakko Kallio	Wäinö Heikki Hakkarainen	11
Jaakko Kallio	Kustaa Wilhelm Palmu	11
ANTTI KORJONEN	Joonas Hyyrynen	11
Paul Kempe	Richard Calwer	11
Artturi Kannisto	Helmi Setälä	11
Johan Arthur Taimi	Wilho Aaltonen	11
Johan Arthur Taimi	Richard Lindroosin	11
Johan Arthur Taimi	Otto Sallinen	11
Pekka Juho Pitkänen	Rudolf Wiberg	11
Arne Lund	J. Niskanen	11
Isak Kalliomäki	Jaakko Kallio	11
Isak Kalliomäki	Otto Sallinen	11
Frans Heikki Forssellin	Juho Kustaa Rantanen	11
Frans Heikki Forssellin	Herman Asikainen	11
Frans Heikki Forssellin	Richard Lindroosin	11
Hilja Liinamaa	Lauri Lettomäki	11
Johan Alfred Mäkipää	Juho Nestor Nurmi	11
Johan Alfred Mäkipää	Wilho Aaltonen	11
Johan Alfred Mäkipää	Otto Sallinen	11
Johan Alfred Mäkipää	Johan Urho Rantala	11
Maikki Friberg	Tekla Hultin	11
Aleksandra Grönforsin	Perttu Lindberg	11
Aino Kallas	Leo Tolstoi	11
I. Astala	Otto Wrede	11
